run	Sample	reference	biosample	tech_replicate	bio_replicate	condition	data_source	library_type	host_ref
230720_M05240_0127_000000000-KVV5C	SparkAIS_S1_a1	CAG_EGFP_ITR_corrected	S1	rep1	rep1	mock_control	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S2_a1	CAG_EGFP_ITR_corrected	S2	rep1	rep2	mock_control	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S3_a1	CAG_EGFP_ITR_corrected	S3	rep1	rep1	standard_control	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S4_a1	CAG_EGFP_ITR_corrected	S4	rep1	rep2	standard_control	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S5_a1	CAG_EGFP_ITR_corrected	S5	rep1	rep1	low_dose	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S6_a1	CAG_EGFP_ITR_corrected	S6	rep1	rep2	low_dose	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S7_a1	CAG_EGFP_ITR_corrected	S7	rep1	rep1	high_dose	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S8_a1	CAG_EGFP_ITR_corrected	S8	rep1	rep2	high_dose	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S9_a1	CAG_EGFP_ITR_corrected	S9	rep1	rep1	low_dose_with_standard	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S10_a1	CAG_EGFP_ITR_corrected	S10	rep1	rep2	low_dose_with_standard	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S11_a1	CAG_EGFP_ITR_corrected	S11	rep1	rep1	high_dose_with_standard	Spark	slimPCR	mm39
230720_M05240_0127_000000000-KVV5C	SparkAIS_S12_a1	CAG_EGFP_ITR_corrected	S12	rep1	rep2	high_dose_with_standard	Spark	slimPCR	mm39
230818_VH00163_52_AACWHTHM5	004_S1_S1_a1	CAG_EGFP_ITR_corrected	S1	rep1	rep1	mock_control	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S2_S2_a1	CAG_EGFP_ITR_corrected	S2	rep1	rep2	mock_control	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S3_S3_a1	CAG_EGFP_ITR_corrected	S3	rep1	rep1	standard_control	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S4_S4_a1	CAG_EGFP_ITR_corrected	S4	rep1	rep2	standard_control	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S5_S5_a1	CAG_EGFP_ITR_corrected	S5	rep1	rep1	low_dose	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S6_S6_a1	CAG_EGFP_ITR_corrected	S6	rep1	rep2	low_dose	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S7_S7_a1	CAG_EGFP_ITR_corrected	S7	rep1	rep1	high_dose	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S8_S8_a1	CAG_EGFP_ITR_corrected	S8	rep1	rep2	high_dose	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S9_S9_a1	CAG_EGFP_ITR_corrected	S9	rep1	rep1	low_dose_with_standard	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S10_S10_a1	CAG_EGFP_ITR_corrected	S10	rep1	rep2	low_dose_with_standard	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S11_S11_a1	CAG_EGFP_ITR_corrected	S11	rep1	rep1	high_dose_with_standard	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	004_S12_S12_a1	CAG_EGFP_ITR_corrected	S12	rep1	rep2	high_dose_with_standard	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S1_S13_a1	CAG_EGFP_ITR_corrected	S1	rep2	rep1	mock_control	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S2_S14_a1	CAG_EGFP_ITR_corrected	S2	rep2	rep2	mock_control	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S3_S15_a1	CAG_EGFP_ITR_corrected	S3	rep2	rep1	standard_control	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S4_S16_a1	CAG_EGFP_ITR_corrected	S4	rep2	rep2	standard_control	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S5_S17_a1	CAG_EGFP_ITR_corrected	S5	rep2	rep1	low_dose	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S6_S18_a1	CAG_EGFP_ITR_corrected	S6	rep2	rep2	low_dose	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S7_S19_a1	CAG_EGFP_ITR_corrected	S7	rep2	rep1	high_dose	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S8_S20_a1	CAG_EGFP_ITR_corrected	S8	rep2	rep2	high_dose	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S9_S21_a1	CAG_EGFP_ITR_corrected	S9	rep2	rep1	low_dose_with_standard	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S10_S22_a1	CAG_EGFP_ITR_corrected	S10	rep2	rep2	low_dose_with_standard	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S11_S23_a1	CAG_EGFP_ITR_corrected	S11	rep2	rep1	high_dose_with_standard	Spark	TES	mm39
230818_VH00163_52_AACWHTHM5	005_S12_S24_a1	CAG_EGFP_ITR_corrected	S12	rep2	rep2	high_dose_with_standard	Spark	TES	mm39
230914_M05240_0132_000000000-L8PDF	SparkAIS_S3_a1	CAG_EGFP_ITR_corrected	S3	rep1	rep1	standard_control	Spark	slimPCR	mm39
230914_M05240_0132_000000000-L8PDF	SparkAIS_S4_a1	CAG_EGFP_ITR_corrected	S4	rep1	rep2	standard_control	Spark	slimPCR	mm39
230914_M05240_0132_000000000-L8PDF	SparkAIS_S5_a1	CAG_EGFP_ITR_corrected	S5	rep1	rep1	low_dose	Spark	slimPCR	mm39
230914_M05240_0132_000000000-L8PDF	SparkAIS_S6_a1	CAG_EGFP_ITR_corrected	S6	rep1	rep2	low_dose	Spark	slimPCR	mm39
230914_M05240_0132_000000000-L8PDF	SparkAIS_S7_a1	CAG_EGFP_ITR_corrected	S7	rep1	rep1	high_dose	Spark	slimPCR	mm39
230914_M05240_0132_000000000-L8PDF	SparkAIS_S8_a1	CAG_EGFP_ITR_corrected	S8	rep1	rep2	high_dose	Spark	slimPCR	mm39
230914_M05240_0132_000000000-L8PDF	SparkAIS_S9_a1	CAG_EGFP_ITR_corrected	S9	rep1	rep1	low_dose_with_standard	Spark	slimPCR	mm39
230914_M05240_0132_000000000-L8PDF	SparkAIS_S10_a1	CAG_EGFP_ITR_corrected	S10	rep1	rep2	low_dose_with_standard	Spark	slimPCR	mm39
230914_M05240_0132_000000000-L8PDF	SparkAIS_S11_a1	CAG_EGFP_ITR_corrected	S11	rep1	rep1	high_dose_with_standard	Spark	slimPCR	mm39
230914_M05240_0132_000000000-L8PDF	SparkAIS_S12_a1	CAG_EGFP_ITR_corrected	S12	rep1	rep2	high_dose_with_standard	Spark	slimPCR	mm39
230925_M07542_0048_000000000-L6GCD	004-S1_S1_a1	CAG_EGFP_ITR_corrected	S1	rep1	rep1	mock_control	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	004-S2_S2_a1	CAG_EGFP_ITR_corrected	S2	rep1	rep2	mock_control	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	004-S3_S3_a1	CAG_EGFP_ITR_corrected	S3	rep1	rep1	standard_control	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	004-S4_S4_a1	CAG_EGFP_ITR_corrected	S4	rep1	rep2	standard_control	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	004-S5_S5_a1	CAG_EGFP_ITR_corrected	S5	rep1	rep1	low_dose	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	004-S6_S6_a1	CAG_EGFP_ITR_corrected	S6	rep1	rep2	low_dose	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	004-S7_S7_a1	CAG_EGFP_ITR_corrected	S7	rep1	rep1	high_dose	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	004-S8_S8_a1	CAG_EGFP_ITR_corrected	S8	rep1	rep2	high_dose	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	004-S9_S9_a1	CAG_EGFP_ITR_corrected	S9	rep1	rep1	low_dose_with_standard	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	004-S10_S10_a1	CAG_EGFP_ITR_corrected	S10	rep1	rep2	low_dose_with_standard	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	004-S11_S11_a1	CAG_EGFP_ITR_corrected	S11	rep1	rep1	high_dose_with_standard	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	004-S12_S12_a1	CAG_EGFP_ITR_corrected	S12	rep1	rep2	high_dose_with_standard	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	005-S1_S13_a1	CAG_EGFP_ITR_corrected	S1	rep2	rep1	mock_control	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	005-S2_S14_a1	CAG_EGFP_ITR_corrected	S2	rep2	rep2	mock_control	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	005-S3_S15_a1	CAG_EGFP_ITR_corrected	S3	rep2	rep1	standard_control	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	005-S4_S16_a1	CAG_EGFP_ITR_corrected	S4	rep2	rep2	standard_control	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	005-S5_S17_a1	CAG_EGFP_ITR_corrected	S5	rep2	rep1	low_dose	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	005-S6_S18_a1	CAG_EGFP_ITR_corrected	S6	rep2	rep2	low_dose	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	005-S7_S19_a1	CAG_EGFP_ITR_corrected	S7	rep2	rep1	high_dose	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	005-S8_S20_a1	CAG_EGFP_ITR_corrected	S8	rep2	rep2	high_dose	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	005-S9_S21_a1	CAG_EGFP_ITR_corrected	S9	rep2	rep1	low_dose_with_standard	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	005-S10_S22_a1	CAG_EGFP_ITR_corrected	S10	rep2	rep2	low_dose_with_standard	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	005-S11_S23_a1	CAG_EGFP_ITR_corrected	S11	rep2	rep1	high_dose_with_standard	Spark	TES	mm39
230925_M07542_0048_000000000-L6GCD	005-S12_S24_a1	CAG_EGFP_ITR_corrected	S12	rep2	rep2	high_dose_with_standard	Spark	TES	mm39
231025_M05240_0136_000000000-L8G8J	SparkAIS_S3_a1	CAG_EGFP_ITR_corrected	S3	rep1	rep1	standard_control	Spark	slimPCR	mm39
231025_M05240_0136_000000000-L8G8J	SparkAIS_S4_a1	CAG_EGFP_ITR_corrected	S4	rep1	rep2	standard_control	Spark	slimPCR	mm39
231025_M05240_0136_000000000-L8G8J	SparkAIS_S5_a1	CAG_EGFP_ITR_corrected	S5	rep1	rep1	low_dose	Spark	slimPCR	mm39
231025_M05240_0136_000000000-L8G8J	SparkAIS_S6_a1	CAG_EGFP_ITR_corrected	S6	rep1	rep2	low_dose	Spark	slimPCR	mm39
231025_M05240_0136_000000000-L8G8J	SparkAIS_S7_a1	CAG_EGFP_ITR_corrected	S7	rep1	rep1	high_dose	Spark	slimPCR	mm39
231025_M05240_0136_000000000-L8G8J	SparkAIS_S8_a1	CAG_EGFP_ITR_corrected	S8	rep1	rep2	high_dose	Spark	slimPCR	mm39
231025_M05240_0136_000000000-L8G8J	SparkAIS_S9_a1	CAG_EGFP_ITR_corrected	S9	rep1	rep1	low_dose_with_standard	Spark	slimPCR	mm39
231025_M05240_0136_000000000-L8G8J	SparkAIS_S10_a1	CAG_EGFP_ITR_corrected	S10	rep1	rep2	low_dose_with_standard	Spark	slimPCR	mm39
231025_M05240_0136_000000000-L8G8J	SparkAIS_S11_a1	CAG_EGFP_ITR_corrected	S11	rep1	rep1	high_dose_with_standard	Spark	slimPCR	mm39
231025_M05240_0136_000000000-L8G8J	SparkAIS_S12_a1	CAG_EGFP_ITR_corrected	S12	rep1	rep2	high_dose_with_standard	Spark	slimPCR	mm39
231114_VH00163_66_AAF55KMM5	007_S1_S1_a1	CAG_EGFP_ITR_corrected	S1	rep1	rep1	mock_control	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	007_S2_S2_a1	CAG_EGFP_ITR_corrected	S2	rep1	rep2	mock_control	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	007_S3_S3_a1	CAG_EGFP_ITR_corrected	S3	rep1	rep1	standard_control	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	007_S4_S4_a1	CAG_EGFP_ITR_corrected	S4	rep1	rep2	standard_control	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	007_S5_S5_a1	CAG_EGFP_ITR_corrected	S5	rep1	rep1	low_dose	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	007_S6_S6_a1	CAG_EGFP_ITR_corrected	S6	rep1	rep2	low_dose	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	007_S7_S7_a1	CAG_EGFP_ITR_corrected	S7	rep1	rep1	high_dose	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	007_S8_S8_a1	CAG_EGFP_ITR_corrected	S8	rep1	rep2	high_dose	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	007_S9_S9_a1	CAG_EGFP_ITR_corrected	S9	rep1	rep1	low_dose_with_standard	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	007_S10_S10_a1	CAG_EGFP_ITR_corrected	S10	rep1	rep2	low_dose_with_standard	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	007_S11_S11_a1	CAG_EGFP_ITR_corrected	S11	rep1	rep1	high_dose_with_standard	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	007_S12_S12_a1	CAG_EGFP_ITR_corrected	S12	rep1	rep2	high_dose_with_standard	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	008_S1_S13_a1	CAG_EGFP_ITR_corrected	S1	rep2	rep1	mock_control	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	008_S2_S14_a1	CAG_EGFP_ITR_corrected	S2	rep2	rep2	mock_control	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	008_S3_S15_a1	CAG_EGFP_ITR_corrected	S3	rep2	rep1	standard_control	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	008_S4_S16_a1	CAG_EGFP_ITR_corrected	S4	rep2	rep2	standard_control	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	008_S5_S17_a1	CAG_EGFP_ITR_corrected	S5	rep2	rep1	low_dose	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	008_S6_S18_a1	CAG_EGFP_ITR_corrected	S6	rep2	rep2	low_dose	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	008_S7_S19_a1	CAG_EGFP_ITR_corrected	S7	rep2	rep1	high_dose	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	008_S8_S20_a1	CAG_EGFP_ITR_corrected	S8	rep2	rep2	high_dose	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	008_S9_S21_a1	CAG_EGFP_ITR_corrected	S9	rep2	rep1	low_dose_with_standard	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	008_S10_S22_a1	CAG_EGFP_ITR_corrected	S10	rep2	rep2	low_dose_with_standard	Spark	TES	mm39
231114_VH00163_66_AAF55KMM5	008_S11_S23_a1	CAG_EGFP_ITR_corrected	S11	rep2	rep1	high_dose_with_standard	Spark	TES	mm39
231121_A01959_0035_BHNVCVDRX3	SparkAIS_S3_a1	CAG_EGFP_ITR_corrected	S3	rep1	rep1	standard_control	Spark	slimPCR	mm39
231121_A01959_0035_BHNVCVDRX3	SparkAIS_S4_a1	CAG_EGFP_ITR_corrected	S4	rep1	rep2	standard_control	Spark	slimPCR	mm39
231121_A01959_0035_BHNVCVDRX3	SparkAIS_S5_a1	CAG_EGFP_ITR_corrected	S5	rep1	rep1	low_dose	Spark	slimPCR	mm39
231121_A01959_0035_BHNVCVDRX3	SparkAIS_S6_a1	CAG_EGFP_ITR_corrected	S6	rep1	rep2	low_dose	Spark	slimPCR	mm39
231121_A01959_0035_BHNVCVDRX3	SparkAIS_S7_a1	CAG_EGFP_ITR_corrected	S7	rep1	rep1	high_dose	Spark	slimPCR	mm39
231121_A01959_0035_BHNVCVDRX3	SparkAIS_S8_a1	CAG_EGFP_ITR_corrected	S8	rep1	rep2	high_dose	Spark	slimPCR	mm39
231121_A01959_0035_BHNVCVDRX3	SparkAIS_S9_a1	CAG_EGFP_ITR_corrected	S9	rep1	rep1	low_dose_with_standard	Spark	slimPCR	mm39
231121_A01959_0035_BHNVCVDRX3	SparkAIS_S10_a1	CAG_EGFP_ITR_corrected	S10	rep1	rep2	low_dose_with_standard	Spark	slimPCR	mm39
231121_A01959_0035_BHNVCVDRX3	SparkAIS_S11_a1	CAG_EGFP_ITR_corrected	S11	rep1	rep1	high_dose_with_standard	Spark	slimPCR	mm39
231121_A01959_0035_BHNVCVDRX3	SparkAIS_S12_a1	CAG_EGFP_ITR_corrected	S12	rep1	rep2	high_dose_with_standard	Spark	slimPCR	mm39
231215_VH00163_75_AAF2M5TM5	009_S1_S1_a1	CAG_EGFP_ITR_corrected	S1	rep1	rep1	mock_control	Spark	TES	mm39
231215_VH00163_75_AAF2M5TM5	009_S2_S2_a1	CAG_EGFP_ITR_corrected	S2	rep1	rep2	mock_control	Spark	TES	mm39
231215_VH00163_75_AAF2M5TM5	009_S3_S3_a1	CAG_EGFP_ITR_corrected	S3	rep1	rep1	standard_control	Spark	TES	mm39
231215_VH00163_75_AAF2M5TM5	009_S4_S4_a1	CAG_EGFP_ITR_corrected	S4	rep1	rep2	standard_control	Spark	TES	mm39
231215_VH00163_75_AAF2M5TM5	009_S5_S5_a1	CAG_EGFP_ITR_corrected	S5	rep1	rep1	low_dose	Spark	TES	mm39
231215_VH00163_75_AAF2M5TM5	009_S6_S6_a1	CAG_EGFP_ITR_corrected	S6	rep1	rep2	low_dose	Spark	TES	mm39
231215_VH00163_75_AAF2M5TM5	009_S7_S7_a1	CAG_EGFP_ITR_corrected	S7	rep1	rep1	high_dose	Spark	TES	mm39
231215_VH00163_75_AAF2M5TM5	009_S8_S8_a1	CAG_EGFP_ITR_corrected	S8	rep1	rep2	high_dose	Spark	TES	mm39
231215_VH00163_75_AAF2M5TM5	009_S9_S9_a1	CAG_EGFP_ITR_corrected	S9	rep1	rep1	low_dose_with_standard	Spark	TES	mm39
231215_VH00163_75_AAF2M5TM5	009_S10_S10_a1	CAG_EGFP_ITR_corrected	S10	rep1	rep2	low_dose_with_standard	Spark	TES	mm39
231215_VH00163_75_AAF2M5TM5	009_S11_S11_a1	CAG_EGFP_ITR_corrected	S11	rep1	rep1	high_dose_with_standard	Spark	TES	mm39
231215_VH00163_75_AAF2M5TM5	009_S12_S12_a1	CAG_EGFP_ITR_corrected	S12	rep1	rep2	high_dose_with_standard	Spark	TES	mm39
